filename,key_share_size,supported_group_id,leaf_cert_pubkey_size,leaf_cert_sig_size,leaf_cert_oid,cert_chain_length,label
MLKEM768_ECDSA-P256.pcap,1188,0x201,65,71,1.2.840.10045.4.3.2,1,KE-PQC
MLKEM768_Ed25519.pcap,1188,0x201,32,64,1.3.101.112,1,KE-PQC
MLKEM768_ML-DSA-65.pcap,1188,0x201,1952,3309,2.16.840.1.101.3.4.3.18,1,Full-PQC
MLKEM768_RSA.pcap,1188,0x201,270,256,1.2.840.113549.1.1.11,1,KE-PQC
MLKEM768_SLH-DSA-SHA2-128s.pcap,1188,0x201,32,17088,2.16.840.1.101.3.4.3.21,1,Full-PQC
X25519MLKEM768_ECDSA-P256.pcap,1220,0x11ec,65,71,1.2.840.10045.4.3.2,1,KE-PQC
X25519MLKEM768_Ed25519.pcap,1220,0x11ec,32,64,1.3.101.112,1,KE-PQC
X25519MLKEM768_ML-DSA-65.pcap,1220,0x11ec,1952,3309,2.16.840.1.101.3.4.3.18,1,Full-PQC
X25519MLKEM768_RSA.pcap,1220,0x11ec,270,256,1.2.840.113549.1.1.11,1,KE-PQC
X25519MLKEM768_SLH-DSA-SHA2-128s.pcap,1220,0x11ec,32,17088,2.16.840.1.101.3.4.3.21,1,Full-PQC
X25519_ECDSA-P256.pcap,36,0x1d,65,71,1.2.840.10045.4.3.2,1,Classical
X25519_Ed25519.pcap,36,0x1d,32,64,1.3.101.112,1,Classical
X25519_ML-DSA-65.pcap,36,0x1d,1952,3309,2.16.840.1.101.3.4.3.18,1,Cert-PQC
X25519_RSA.pcap,36,0x1d,270,256,1.2.840.113549.1.1.11,1,Classical
X25519_SLH-DSA-SHA2-128s.pcap,36,0x1d,32,17088,2.16.840.1.101.3.4.3.21,1,Cert-PQC
